DATE;DIFF
01-01-1985;46
02-01-1985;45
03-01-1985;44
04-01-1985;43
05-01-1985;42
06-01-1985;41
07-01-1985;40
08-01-1985;39
09-01-1985;38
10-01-1985;37
11-01-1985;36
12-01-1985;35
01-01-1986;34
02-01-1986;33
03-01-1986;32
04-01-1986;31
05-01-1986;30
06-01-1986;29
07-01-1986;28
08-01-1986;27
09-01-1986;26
10-01-1986;25
11-01-1986;24
12-01-1986;23
01-01-1987;22
02-01-1987;21
03-01-1987;20
04-01-1987;19
05-01-1987;18
06-01-1987;17
07-01-1987;16
08-01-1987;15
09-01-1987;14
10-01-1987;13
11-01-1987;12
12-01-1987;11
01-01-1988;10
02-01-1988;9
03-01-1988;8
04-01-1988;7
05-01-1988;6
06-01-1988;5
07-01-1988;4
08-01-1988;3
09-01-1988;2
10-01-1988;1
11-01-1988;0
12-01-1988;47
01-01-1989;46
02-01-1989;45
03-01-1989;44
04-01-1989;43
05-01-1989;42
06-01-1989;41
07-01-1989;40
08-01-1989;39
09-01-1989;38
10-01-1989;37
11-01-1989;36
12-01-1989;35
01-01-1990;34
02-01-1990;33
03-01-1990;32
04-01-1990;31
05-01-1990;30
06-01-1990;29
07-01-1990;28
08-01-1990;27
09-01-1990;26
10-01-1990;25
11-01-1990;24
12-01-1990;23
01-01-1991;22
02-01-1991;21
03-01-1991;20
04-01-1991;19
05-01-1991;18
06-01-1991;17
07-01-1991;16
08-01-1991;15
09-01-1991;14
10-01-1991;13
11-01-1991;12
12-01-1991;11
01-01-1992;10
02-01-1992;9
03-01-1992;8
04-01-1992;7
05-01-1992;6
06-01-1992;5
07-01-1992;4
08-01-1992;3
09-01-1992;2
10-01-1992;1
11-01-1992;0
12-01-1992;47
01-01-1993;46
02-01-1993;45
03-01-1993;44
04-01-1993;43
05-01-1993;42
06-01-1993;41
07-01-1993;40
08-01-1993;39
09-01-1993;38
10-01-1993;37
11-01-1993;36
12-01-1993;35
01-01-1994;34
02-01-1994;33
03-01-1994;32
04-01-1994;31
05-01-1994;30
06-01-1994;29
07-01-1994;28
08-01-1994;27
09-01-1994;26
10-01-1994;25
11-01-1994;24
12-01-1994;23
01-01-1995;22
02-01-1995;21
03-01-1995;20
04-01-1995;19
05-01-1995;18
06-01-1995;17
07-01-1995;16
08-01-1995;15
09-01-1995;14
10-01-1995;13
11-01-1995;12
12-01-1995;11
01-01-1996;10
02-01-1996;9
03-01-1996;8
04-01-1996;7
05-01-1996;6
06-01-1996;5
07-01-1996;4
08-01-1996;3
09-01-1996;2
10-01-1996;1
11-01-1996;0
12-01-1996;47
01-01-1997;46
02-01-1997;45
03-01-1997;44
04-01-1997;43
05-01-1997;42
06-01-1997;41
07-01-1997;40
08-01-1997;39
09-01-1997;38
10-01-1997;37
11-01-1997;36
12-01-1997;35
01-01-1998;34
02-01-1998;33
03-01-1998;32
04-01-1998;31
05-01-1998;30
06-01-1998;29
07-01-1998;28
08-01-1998;27
09-01-1998;26
10-01-1998;25
11-01-1998;24
12-01-1998;23
01-01-1999;22
02-01-1999;21
03-01-1999;20
04-01-1999;19
05-01-1999;18
06-01-1999;17
07-01-1999;16
08-01-1999;15
09-01-1999;14
10-01-1999;13
11-01-1999;12
12-01-1999;11
01-01-2000;10
02-01-2000;9
03-01-2000;8
04-01-2000;7
05-01-2000;6
06-01-2000;5
07-01-2000;4
08-01-2000;3
09-01-2000;2
10-01-2000;1
11-01-2000;0
12-01-2000;47
01-01-2001;46
02-01-2001;45
03-01-2001;44
04-01-2001;43
05-01-2001;42
06-01-2001;41
07-01-2001;40
08-01-2001;39
09-01-2001;38
10-01-2001;37
11-01-2001;36
12-01-2001;35
01-01-2002;34
02-01-2002;33
03-01-2002;32
04-01-2002;31
05-01-2002;30
06-01-2002;29
07-01-2002;28
08-01-2002;27
09-01-2002;26
10-01-2002;25
11-01-2002;24
12-01-2002;23
01-01-2003;22
02-01-2003;21
03-01-2003;20
04-01-2003;19
05-01-2003;18
06-01-2003;17
07-01-2003;16
08-01-2003;15
09-01-2003;14
10-01-2003;13
11-01-2003;12
12-01-2003;11
01-01-2004;10
02-01-2004;9
03-01-2004;8
04-01-2004;7
05-01-2004;6
06-01-2004;5
07-01-2004;4
08-01-2004;3
09-01-2004;2
10-01-2004;1
11-01-2004;0
12-01-2004;47
01-01-2005;46
02-01-2005;45
03-01-2005;44
04-01-2005;43
05-01-2005;42
06-01-2005;41
07-01-2005;40
08-01-2005;39
09-01-2005;38
10-01-2005;37
11-01-2005;36
12-01-2005;35
01-01-2006;34
02-01-2006;33
03-01-2006;32
04-01-2006;31
05-01-2006;30
06-01-2006;29
07-01-2006;28
08-01-2006;27
09-01-2006;26
10-01-2006;25
11-01-2006;24
12-01-2006;23
01-01-2007;22
02-01-2007;21
03-01-2007;20
04-01-2007;19
05-01-2007;18
06-01-2007;17
07-01-2007;16
08-01-2007;15
09-01-2007;14
10-01-2007;13
11-01-2007;12
12-01-2007;11
01-01-2008;10
02-01-2008;9
03-01-2008;8
04-01-2008;7
05-01-2008;6
06-01-2008;5
07-01-2008;4
08-01-2008;3
09-01-2008;2
10-01-2008;1
11-01-2008;0
12-01-2008;47
01-01-2009;46
02-01-2009;45
03-01-2009;44
04-01-2009;43
05-01-2009;42
06-01-2009;41
07-01-2009;40
08-01-2009;39
09-01-2009;38
10-01-2009;37
11-01-2009;36
12-01-2009;35
01-01-2010;34
02-01-2010;33
03-01-2010;32
04-01-2010;31
05-01-2010;30
06-01-2010;29
07-01-2010;28
08-01-2010;27
09-01-2010;26
10-01-2010;25
11-01-2010;24
12-01-2010;23
01-01-2011;22
02-01-2011;21
03-01-2011;20
04-01-2011;19
05-01-2011;18
06-01-2011;17
07-01-2011;16
08-01-2011;15
09-01-2011;14
10-01-2011;13
11-01-2011;12
12-01-2011;11
01-01-2012;10
02-01-2012;9
03-01-2012;8
04-01-2012;7
05-01-2012;6
06-01-2012;5
07-01-2012;4
08-01-2012;3
09-01-2012;2
10-01-2012;1
11-01-2012;0
12-01-2012;47
01-01-2013;46
02-01-2013;45
03-01-2013;44
04-01-2013;43
05-01-2013;42
06-01-2013;41
07-01-2013;40
08-01-2013;39
09-01-2013;38
10-01-2013;37
11-01-2013;36
12-01-2013;35
01-01-2014;34
02-01-2014;33
03-01-2014;32
04-01-2014;31
05-01-2014;30
06-01-2014;29
07-01-2014;28
08-01-2014;27
09-01-2014;26
10-01-2014;25
11-01-2014;24
12-01-2014;23
01-01-2015;22
02-01-2015;21
03-01-2015;20
04-01-2015;19
05-01-2015;18
06-01-2015;17
07-01-2015;16
08-01-2015;15
09-01-2015;14
10-01-2015;13
11-01-2015;12
12-01-2015;11
01-01-2016;10
02-01-2016;9
03-01-2016;8
04-01-2016;7
05-01-2016;6
06-01-2016;5
07-01-2016;4
08-01-2016;3
09-01-2016;2
10-01-2016;1
11-01-2016;0
12-01-2016;47
01-01-2017;46
02-01-2017;45
03-01-2017;44
04-01-2017;43
05-01-2017;42
06-01-2017;41
07-01-2017;40
08-01-2017;39
09-01-2017;38
10-01-2017;37
11-01-2017;36
12-01-2017;35
01-01-2018;34
02-01-2018;33
03-01-2018;32
04-01-2018;31
05-01-2018;30
06-01-2018;29
07-01-2018;28
08-01-2018;27
09-01-2018;26
10-01-2018;25
11-01-2018;24
12-01-2018;23
01-01-2019;22
02-01-2019;21
03-01-2019;20
04-01-2019;19
05-01-2019;18
06-01-2019;17
07-01-2019;16
08-01-2019;15
09-01-2019;14
10-01-2019;13
11-01-2019;12
12-01-2019;11
01-01-2020;10
